n_ICU,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_admitted_InGeneralWard,date
53,626,27,26,17,24,20200801
68,606,35,33,12,24,20200802
64,288,40,24,10,19,20200803
56,332,27,29,9,25,20200804
57,318,36,21,2,19,20200805
73,311,41,32,32,22,20200806
69,304,39,30,18,26,20200807
68,303,38,30,12,24,20200808
60,282,34,26,14,15,20200809
60,315,35,25,6,14,20200810
70,350,37,33,10,25,20200811
64,331,31,33,18,16,20200812
61,326,35,26,21,19,20200813
58,305,27,31,14,21,20200814
65,300,38,27,14,26,20200815
65,305,37,28,11,16,20200816
59,303,37,22,4,21,20200817
66,292,43,23,6,20,20200818
66,315,39,27,37,15,20200819
62,236,39,23,12,13,20200820
66,248,51,15,13,13,20200821
50,243,30,20,20,12,20200822
50,228,30,20,0,12,20200823
62,247,36,26,27,16,20200824
61,255,33,28,12,21,20200825
68,242,39,29,27,20,20200826
61,225,32,29,20,17,20200827
60,218,34,26,16,17,20200828
62,205,36,26,13,23,20200829
62,237,37,25,13,12,20200830
56,242,34,22,11,15,20200831
55,320,26,29,4,20,20200901
58,317,29,29,-4,28,20200902
61,331,33,28,17,16,20200903
60,346,34,26,23,25,20200904
48,331,23,25,16,19,20200905
52,250,30,22,9,21,20200906
56,276,36,20,8,20,20200907
47,272,23,24,8,21,20200908
49,277,28,21,5,26,20200909
59,251,38,21,20,19,20200910
60,250,38,22,14,22,20200911
64,240,39,25,16,21,20200912
61,228,40,21,14,15,20200913
63,253,46,17,9,25,20200914
52,266,29,23,6,38,20200915
66,290,42,24,20,31,20200916
64,263,38,26,15,22,20200917
62,280,37,25,9,24,20200918
65,287,37,28,26,28,20200919
61,275,27,34,15,28,20200920
69,285,38,31,7,28,20200921
67,270,40,27,11,20,20200922
71,281,45,26,19,33,20200923
75,281,46,29,15,28,20200924
78,247,47,31,11,32,20200925
77,300,49,28,18,37,20200926
79,294,52,27,13,40,20200927
85,292,54,31,11,31,20200928
107,307,80,27,8,35,20200929
89,310,60,29,33,31,20200930
84,309,52,32,24,37,20201001
79,308,45,34,10,42,20201002
75,322,48,27,17,43,20201003
83,352,56,27,3,33,20201004
88,380,55,33,20,44,20201005
85,383,54,31,8,40,20201006
83,358,49,34,19,40,20201007
85,369,62,23,8,39,20201008
88,403,60,28,12,51,20201009
86,384,58,28,10,39,20201010
85,383,56,29,17,33,20201011
82,389,50,32,13,36,20201012
87,387,60,27,13,42,20201013
88,388,60,28,17,46,20201014
92,429,58,34,25,39,20201015
77,376,44,33,30,35,20201016
88,368,52,36,21,42,20201017
83,388,51,32,14,42,20201018
86,377,53,33,16,40,20201019
94,384,59,35,5,42,20201020
91,394,55,36,22,61,20201021
103,421,65,38,30,78,20201022
125,409,82,43,20,60,20201023
114,407,69,45,9,65,20201024
109,426,64,45,25,56,20201025
105,405,62,43,17,57,20201026
109,427,62,47,7,53,20201027
106,448,57,49,36,52,20201028
99,441,50,49,27,58,20201029
106,499,59,47,24,59,20201030
118,497,65,53,16,51,20201031
113,513,58,55,22,64,20201101
96,502,46,50,10,58,20201102
96,533,45,51,12,63,20201103
109,508,54,55,27,63,20201104
115,489,59,56,23,64,20201105
118,490,61,57,21,88,20201106
127,482,67,60,23,102,20201107
144,478,82,62,20,78,20201108
143,474,77,66,14,72,20201109
150,508,82,68,21,90,20201110
152,546,80,72,38,99,20201111
151,546,83,68,20,82,20201112
153,618,82,71,23,111,20201113
151,616,80,71,28,101,20201114
159,668,89,70,36,91,20201115
159,706,85,74,11,113,20201116
159,727,86,73,20,145,20201117
173,779,101,72,47,142,20201118
181,770,106,75,28,129,20201119
179,738,104,75,34,108,20201120
187,759,102,85,19,132,20201121
192,778,104,88,24,122,20201122
204,741,113,91,19,111,20201123
205,747,106,99,20,125,20201124
208,795,100,108,53,117,20201125
208,807,100,108,0,133,20201126
209,833,100,109,31,111,20201127
225,839,114,111,41,140,20201128
238,928,128,110,46,159,20201129
244,906,118,126,26,123,20201130
239,950,109,130,30,183,20201201
264,1062,138,126,46,214,20201202
261,1074,124,137,50,196,20201203
278,1116,144,134,36,190,20201204
283,1075,145,138,43,193,20201205
298,1161,159,139,51,186,20201206
302,1143,149,153,31,179,20201207
310,1215,144,166,41,231,20201208
308,1301,146,162,90,292,20201209
307,1290,139,168,43,264,20201210
309,1324,144,165,48,280,20201211
334,1332,164,170,50,301,20201212
342,1389,164,178,42,236,20201213
354,1380,168,186,39,214,20201214
371,1403,171,200,55,233,20201215
382,1439,177,205,70,294,20201216
383,1486,176,207,45,298,20201217
370,1507,166,204,52,251,20201218
383,1494,187,196,47,284,20201219
387,1508,182,205,60,286,20201220
410,1429,195,215,42,189,20201221
412,1813,179,233,45,261,20201222
409,1601,183,226,83,299,20201223
409,1599,177,232,76,280,20201224
409,1585,177,232,0,280,20201225
416,1632,184,232,47,262,20201226
416,1701,186,230,100,283,20201227
430,1674,196,234,48,229,20201228
431,1682,206,225,60,279,20201229
433,1792,202,231,120,320,20201230
417,1840,177,240,85,334,20201231
417,1816,177,240,0,309,20210101
412,1778,166,246,79,255,20210102
416,1880,158,258,108,267,20210103
423,1866,165,258,61,229,20210104
425,1746,161,264,63,325,20210105
442,1755,161,281,102,280,20210106
455,1838,178,277,73,297,20210107
440,1707,160,280,76,282,20210108
445,1618,165,280,89,269,20210109
459,1653,177,282,77,228,20210110
451,1564,166,285,55,195,20210111
451,1546,180,271,67,274,20210112
461,1641,175,286,86,339,20210113
454,1624,160,294,74,308,20210114
451,1672,158,293,76,294,20210115
433,1618,139,294,74,276,20210116
433,1674,145,288,69,239,20210117
427,1644,139,288,53,203,20210118
432,1590,155,277,44,243,20210119
444,1661,145,299,80,241,20210120
430,1584,143,287,77,231,20210121
426,1535,144,282,81,264,20210122
418,1444,127,291,77,223,20210123
409,1411,123,286,69,196,20210124
418,1333,133,285,45,177,20210125
431,1350,153,278,42,221,20210126
418,1325,148,270,84,233,20210127
442,1291,187,255,44,225,20210128
412,1269,164,248,96,215,20210129
393,1244,154,239,87,206,20210130
371,1219,140,231,46,160,20210131
